ID,Name,predicted_area_ha,period,abbr,name_en
24,塘芦港,5.43,2020-2024,TLG,Tanglu Harbor
23,蒿枝港,151.8,2020-2024,HZG,Haozhi Harbor
21,通州湾,205.73000000000002,2020-2024,TZW,Tongzhou Bay
7,射阳河口,501.8,2020-2024,SYH,Sheyang River Estuary
2,朱蓬口区间,3096.09,2022-2023,ZPK,Zhupeng Interval
3,临洪口,3991.89,2022-2023,LHK,Linhong Estuary
4,埒子口,1393.09,2022-2023,LZK,Lezi Estuary
5,灌河口,3691.34,2022-2023,GHK,Guanhe Estuary
6,新淮河口区间,3679.87,2022-2023,XHH,Xinhuai Interval
8,新洋港,5641.05,2022-2023,XYG,Xinyang Harbor
9,中路港,8696.880000000001,2022-2023,ZLG,Zhonglu Harbor
20,东凌港,28589.77,2022-2023,DNG,Dongling Harbor
10,斗龙港,6433.8,2022-2023,DLG,Doulong Harbor
11,四寅酉河闸口,3561.46,2022-2023,SYY,Siyinyou Sluice
12,王港,4298.46,2022-2023,WG,Wanggang Harbor
13,川东港,5857.51,2022-2023,CDG,Chuandong Harbor
14,串水港,5475.63,2022-2023,CSG,Chuanshui Harbor
16,弶港区间,25588.96,2022-2023,JG,Jiangang Interval
15,梁剁河口,2079.07,2022-2023,LDH,Liangduo River Estuary
17,小洋口,6564.2,2022-2023,XYK,Xiaoyangkou
18,刘埠,11468.11,2022-2023,LB,Liubu Harbor
19,洋口港,25679.8,2022-2023,YKG,Yangkou Harbor
22,大洋港,13517.42,2022-2023,DYG,Dayang Harbor
25,协兴港,4696.55,2022-2023,XXG,Xiexing Harbor
1,绣针河口,1906.63,2022-2023,XZH,Xiuzhen River Estuary
24,塘芦港,1417.29,2022-2023,TLG,Tanglu Harbor
23,蒿枝港,4988.46,2022-2023,HZG,Haozhi Harbor
21,通州湾,21686.61,2022-2023,TZW,Tongzhou Bay
7,射阳河口,6734.66,2022-2023,SYH,Sheyang River Estuary
2,朱蓬口区间,152.58,2022-2024,ZPK,Zhupeng Interval
3,临洪口,438.66,2022-2024,LHK,Linhong Estuary
4,埒子口,91.48,2022-2024,LZK,Lezi Estuary
5,灌河口,172.46,2022-2024,GHK,Guanhe Estuary
6,新淮河口区间,138.23,2022-2024,XHH,Xinhuai Interval
8,新洋港,1881.83,2022-2024,XYG,Xinyang Harbor
9,中路港,2799.28,2022-2024,ZLG,Zhonglu Harbor
20,东凌港,1221.71,2022-2024,DNG,Dongling Harbor
10,斗龙港,1714.04,2022-2024,DLG,Doulong Harbor
11,四寅酉河闸口,220.23000000000002,2022-2024,SYY,Siyinyou Sluice
12,王港,436.61,2022-2024,WG,Wanggang Harbor
13,川东港,1264.81,2022-2024,CDG,Chuandong Harbor
14,串水港,1063.28,2022-2024,CSG,Chuanshui Harbor
16,弶港区间,2575.16,2022-2024,JG,Jiangang Interval
15,梁剁河口,209.69,2022-2024,LDH,Liangduo River Estuary
17,小洋口,1744.13,2022-2024,XYK,Xiaoyangkou
18,刘埠,649.26,2022-2024,LB,Liubu Harbor
19,洋口港,4067.57,2022-2024,YKG,Yangkou Harbor
22,大洋港,14.51,2022-2024,DYG,Dayang Harbor
25,协兴港,2570.4,2022-2024,XXG,Xiexing Harbor
1,绣针河口,530.92,2022-2024,XZH,Xiuzhen River Estuary
24,塘芦港,274.47,2022-2024,TLG,Tanglu Harbor
23,蒿枝港,671.39,2022-2024,HZG,Haozhi Harbor
21,通州湾,2114.88,2022-2024,TZW,Tongzhou Bay
7,射阳河口,1016.4200000000001,2022-2024,SYH,Sheyang River Estuary
2,朱蓬口区间,0.0,2022-2025,ZPK,Zhupeng Interval
3,临洪口,0.0,2022-2025,LHK,Linhong Estuary
4,埒子口,0.0,2022-2025,LZK,Lezi Estuary
5,灌河口,0.0,2022-2025,GHK,Guanhe Estuary
6,新淮河口区间,0.0,2022-2025,XHH,Xinhuai Interval
8,新洋港,0.0,2022-2025,XYG,Xinyang Harbor
9,中路港,0.0,2022-2025,ZLG,Zhonglu Harbor
20,东凌港,0.0,2022-2025,DNG,Dongling Harbor
10,斗龙港,0.0,2022-2025,DLG,Doulong Harbor
11,四寅酉河闸口,0.0,2022-2025,SYY,Siyinyou Sluice
12,王港,0.0,2022-2025,WG,Wanggang Harbor
13,川东港,0.0,2022-2025,CDG,Chuandong Harbor
14,串水港,0.0,2022-2025,CSG,Chuanshui Harbor
16,弶港区间,0.0,2022-2025,JG,Jiangang Interval
15,梁剁河口,0.0,2022-2025,LDH,Liangduo River Estuary
17,小洋口,0.0,2022-2025,XYK,Xiaoyangkou
18,刘埠,0.0,2022-2025,LB,Liubu Harbor
19,洋口港,0.0,2022-2025,YKG,Yangkou Harbor
22,大洋港,0.0,2022-2025,DYG,Dayang Harbor
25,协兴港,0.0,2022-2025,XXG,Xiexing Harbor
1,绣针河口,0.0,2022-2025,XZH,Xiuzhen River Estuary
24,塘芦港,0.0,2022-2025,TLG,Tanglu Harbor
23,蒿枝港,0.0,2022-2025,HZG,Haozhi Harbor
21,通州湾,0.0,2022-2025,TZW,Tongzhou Bay
7,射阳河口,0.0,2022-2025,SYH,Sheyang River Estuary
